period,start,end,lev_return,lev_value,lev_drawdown,lev_sharpe,lev_trades,lev_invested_pct,sp500_return,sp500_value,outperformance
2012-09-23 to 2014-09-23,2012-09-23,2014-09-23,-20.919778827301887,7908.022117269811,-39.20790041552977,-0.39306492516311425,83,50.09456877759257,35.94919519705893,13594.919519705893,-56.86897402436081
2013-06-28 to 2015-06-28,2013-06-28,2015-06-28,-17.007306190345297,8299.26938096547,-25.265640963477427,-1.270516492205607,33,50.816534182455996,30.7941713745989,13079.41713745989,-47.80147756494419
2014-04-16 to 2016-04-15,2014-04-16,2016-04-15,-4.163053600433013,9583.694639956699,-26.864172147680154,-0.29629185456800605,36,57.24543592846412,11.631651710381249,11163.165171038125,-15.794705310814262
2014-10-16 to 2016-10-15,2014-10-16,2016-10-15,11.017922310624545,11101.792231062454,-26.864172147680165,0.42241012274150913,88,63.23026792732293,14.41455426470733,11441.455426470733,-3.3966319540827854
2015-09-07 to 2017-09-06,2015-09-07,2017-09-06,30.413769603735435,13041.376960373544,-26.864172147680176,0.7389299722164514,183,61.249075551168175,25.056983769402542,12505.698376940254,5.356785834332893
2016-03-14 to 2018-03-14,2016-03-14,2018-03-14,40.89637267233984,14089.637267233984,-16.892051382594364,0.9809169927371043,192,55.09211421271816,35.950611255787024,13595.061125578703,4.945761416552813
2016-10-09 to 2018-10-09,2016-10-09,2018-10-09,45.50277507449733,14550.277507449733,-18.1669219079496,1.1775534322702372,181,52.81358395637137,32.95706376177428,13295.706376177428,12.54571131272305
2017-04-07 to 2019-04-07,2017-04-07,2019-04-07,22.008307949934427,12200.830794993442,-29.50176486810837,0.4547581880381775,165,56.447198952396015,22.691331236590575,12269.133123659058,-0.6830232866561481
2018-04-25 to 2020-04-24,2018-04-25,2020-04-24,-21.52761064080111,7847.238935919889,-61.72403395373666,-0.26161081546268,162,54.5390212612636,7.336037620788866,10733.603762078887,-28.863648261589976
2018-11-30 to 2020-11-29,2018-11-30,2020-11-29,9.545276433450745,10954.527643345074,-60.964142225477325,0.11241188915494847,156,50.83564072868359,31.9318053619491,13193.18053619491,-22.386528928498354
2019-08-06 to 2021-08-05,2019-08-06,2021-08-05,0.4994079188719115,10049.940791887191,-64.51245690563205,0.00719845870578976,133,57.54459843068395,53.49549287799439,15349.549287799438,-52.99608495912248
2020-06-16 to 2022-06-16,2020-06-16,2022-06-16,23.57724895191581,12357.72489519158,-24.267970750757936,0.32364381549201954,173,51.348329343241716,17.155548283274054,11715.554828327406,6.421700668641755
2021-09-26 to 2023-09-26,2021-09-26,2023-09-26,-12.841810419376051,8715.818958062395,-36.95488770390427,-0.22455557289831715,124,67.55928389095405,-3.786374753971686,9621.362524602831,-9.055435665404366
2022-04-23 to 2024-04-22,2022-04-23,2024-04-22,20.299106348867934,12029.910634886794,-27.084577495674182,0.3890894219619535,144,60.584219462275634,16.618046214142502,11661.80462141425,3.6810601347254313
2022-12-07 to 2024-12-06,2022-12-07,2024-12-06,52.7832161015175,15278.32161015175,-14.272476566405738,1.2711489986792002,160,55.991528193901885,54.59609113264722,15459.609113264722,-1.812875031129714
2024-01-17 to 2026-01-16,2024-01-17,2026-01-16,71.75877877817017,17175.877877817016,-21.17481322218579,1.3498672673431276,195,56.053192670377264,46.448148516939035,14644.814851693904,25.310630261231132
